prompt,completion
How do i download the app,Jar is available on both Android and iOS mobile devices. Simply type ‘Jar’ in the search bar to find & install the app in under two minutes.
Where can I find the app,Jar is available on both Android PlayStore and iOS AppStrore platform. Simply type ‘Jar’ in the search bar to find & install the app in under two minutes.
Is it mandatory to do KYC to invest in gold on Jar,Yes it is mandatory to do KYC verification on Jar if: (1) You have bought gold for more than 30 grams or INR 1.5 Lakhs. (2) ou want to sell gold and withdraw your money. (3) You want to transfer Jar Winnings to purchase gold. (4) You want to get gold delivered to your doorstep
KYC's importance in gold investment,It is mandatory to do KYC verification on Jar if: (1) You have bought gold for more than 30 grams or INR 1.5 Lakhs. (2) ou want to sell gold and withdraw your money. (3) You want to transfer Jar Winnings to purchase gold. (4) You want to get gold delivered to your doorstep
What are the different avenues of saving apart from round offs,"Apart from Round offs you have the option for 'Daily Savings' and to invest in Digital Gold 'Manually'. 

‍Daily Savings: You can set a fixed amount from Rs. 20 to Rs. 2000 with the auto pay feature to be deducted from your account and invest in Digital Gold everyday.

‍Invest Manually: To purchase gold manually click on the 'Invest More' button on the Jar home screen enter the amount of gold you wish to purchase and make the payment. Once the payment is successful gold will be added to your Jar locker."
What can I do from savings,"Apart from Round offs you have the option for 'Daily Savings' and to invest in Digital Gold 'Manually'. 

‍Daily Savings: You can set a fixed amount from Rs. 20 to Rs. 2000 with the auto pay feature to be deducted from your account and invest in Digital Gold everyday.

‍Invest Manually: To purchase gold manually click on the 'Invest More' button on the Jar home screen enter the amount of gold you wish to purchase and make the payment. Once the payment is successful gold will be added to your Jar locker."
How do i automate the round off,Once you’ve signed up you may choose between automatically rounding off your daily expenses to either the nearest 5 or nearest 10 depending on your needs. Example: If your daily spend is Rs. 93 Jar will invest either Rs. 2 or Rs. 7 for you in digital gold.
Automatic round off,Once you’ve signed up you may choose between automatically rounding off your daily expenses to either the nearest 5 or nearest 10 depending on your needs. Example: If your daily spend is Rs. 93 Jar will invest either Rs. 2 or Rs. 7 for you in digital gold.
Can i choose to round off amount,You may choose between automatically rounding off your daily expenses to either the nearest 5 or nearest 10 depending on your needs. You can also change your mind and try the other option by updating your choice in the app’s Settings page.
Custom round off amount,You may choose between automatically rounding off your daily expenses to either the nearest 5 or nearest 10 depending on your needs. You can also change your mind and try the other option by updating your choice in the app’s Settings page.
Who can Invest,Any Indian citizen over the age of 18 that banks with a SEBI-recognized bank may invest with Jar.
Investor,Any Indian citizen over the age of 18 that banks with a SEBI-recognized bank may invest with Jar.
How to set up Daily Savings / Autopay,"To set up Daily Savings: On the app homescreen click on the 'Daily amount' card and set the amount you wish to invest daily. You can choose to invest from Rs. 20 to Rs. 2000 which will be deducted daily from your bank account and invested in Digital Gold.

If you wish to edit your daily savings amount at some point click on Locker and then on the 'Daily amount' card. Once this card opens enter the new amount of your choice.

‍To set up Auto-Pay: Setting up Autopay on Jar is a very quick and easy process. Follow these steps to setup your Autopay within 1 minute on Jar.
1. Click on the Autopay card on your home screen.
2. Verify the subscription details.
3. Click on Setup Autopay.
4. Enter your UPI PIN and make the payment. Once the payment is successful your Autopay on Jar is setup.

Alternatively if you are not able to find the autopay card on your home screen follow these steps:
Click on Locker -> Settings -> Autopay.
Click on Setup Autopay and follow the above steps."
Daily Savings,"""To set up Daily Savings: On the app homescreen click on the 'Daily amount' card and set the amount you wish to invest daily. You can choose to invest from Rs. 20 to Rs. 2000 which will be deducted daily from your bank account and invested in Digital Gold.

If you wish to edit your daily savings amount at some point click on Locker and then on the 'Daily amount' card. Once this card opens enter the new amount of your choice.

‍To set up Auto-Pay: Setting up Autopay on Jar is a very quick and easy process. Follow these steps to setup your Autopay within 1 minute on Jar.
1. Click on the Autopay card on your home screen.
2. Verify the subscription details.
3. Click on Setup Autopay.
4. Enter your UPI PIN and make the payment. Once the payment is successful your Autopay on Jar is setup.

Alternatively if you are not able to find the autopay card on your home screen follow these steps:
Click on Locker -> Settings -> Autopay.
Click on Setup Autopay and follow the above steps."""
Autopay,"To set up Daily Savings: On the app homescreen click on the 'Daily amount' card and set the amount you wish to invest daily. You can choose to invest from Rs. 20 to Rs. 2000 which will be deducted daily from your bank account and invested in Digital Gold.

If you wish to edit your daily savings amount at some point click on Locker and then on the 'Daily amount' card. Once this card opens enter the new amount of your choice.

‍To set up Auto-Pay: Setting up Autopay on Jar is a very quick and easy process. Follow these steps to setup your Autopay within 1 minute on Jar.
1. Click on the Autopay card on your home screen.
2. Verify the subscription details.
3. Click on Setup Autopay.
4. Enter your UPI PIN and make the payment. Once the payment is successful your Autopay on Jar is setup.

Alternatively if you are not able to find the autopay card on your home screen follow these steps:
Click on Locker -> Settings -> Autopay.
Click on Setup Autopay and follow the above steps."
What is UPI mandate,"The UPI mandate feature allows you to place a standing instruction with your bank to automatically debit a predetermined amount from your bank account.

This can be done when you set up recurring payments or 'Auto-Pay' for Gold investment on the Jar app to avoid re-authentication. It is possible that the user may forget to invest money everyday. Hence it creates a mandate for a service/merchant payment wherein this functionality may be required.

Jar takes permission for auto-invest upto Rs. 500 per debit so that you can have a seamless investing experience."
UPI mandate,"The UPI mandate feature allows you to place a standing instruction with your bank to automatically debit a predetermined amount from your bank account.

This can be done when you set up recurring payments or 'Auto-Pay' for Gold investment on the Jar app to avoid re-authentication. It is possible that the user may forget to invest money everyday. Hence it creates a mandate for a service/merchant payment wherein this functionality may be required.

Jar takes permission for auto-invest upto Rs. 500 per debit so that you can have a seamless investing experience."
